txn_year,MCC,total_spending,txn_count,avg_per_txn,grid_col,grid_row
2012,3395,69658.23,299,232.97066889632106,4,57
2010,3395,70434.77,305,230.93367213114755,5,57
2001,3395,12823.5,59,217.34745762711864,6,57
2005,3395,37020.7,153,241.96535947712417,7,57
2020,3395,12171.45,50,243.429,8,57
1996,3395,1512.21,6,252.035,9,57
1994,3395,535.97,2,267.985,0,58
1998,3395,4723.23,21,224.91571428571427,1,58
1993,3395,445.99,2,222.995,2,58
1995,3395,1501.5,7,214.5,3,58
1997,3395,1239.58,4,309.895,4,58
1995,3405,1572.42,6,262.07,5,58
1994,3405,207.25,2,103.625,6,58
2018,3405,75822.78,328,231.16701219512194,7,58
2009,3405,60767.68,262,231.93770992366413,8,58
2000,3405,9159.58,43,213.013488372093,9,58
2004,3405,20564.28,100,205.6428,0,59
1997,3405,2679.9,10,267.99,1,59
2016,3405,65722.96,289,227.41508650519035,2,59
2013,3405,68458.85,288,237.7043402777778,3,59
2017,3405,83270.66,362,230.02944751381216,4,59
1996,3405,526.97,2,263.485,5,59
2007,3405,37536.48,174,215.72689655172417,6,59
2015,3405,61477.9,264,232.87083333333334,7,59
2002,3405,17205.85,73,235.69657534246574,8,59
2011,3405,76381.58,326,234.29932515337424,9,59
1998,3405,2420.24,12,201.68666666666664,0,60
2001,3405,12135.0,55,220.63636363636363,1,60
2020,3405,13888.73,55,252.52236363636362,2,60
2019,3405,83530.65,355,235.2976056338028,3,60
2008,3405,52663.92,228,230.98210526315788,4,60
2010,3405,63420.61,285,222.52845614035087,5,60
2012,3405,71378.9,313,228.0476038338658,6,60
1999,3405,4028.22,18,223.79,7,60
2003,3405,19777.22,85,232.67317647058826,8,60
1993,3405,862.8599999999999,4,215.71499999999997,9,60
2005,3405,34971.18,150,233.1412,0,61
2014,3405,77923.54,331,235.41854984894258,1,61
2006,3405,31757.52,142,223.64450704225354,2,61
1994,3504,2708.8,11,246.25454545454548,3,61
1999,3504,10039.83,37,271.34675675675675,4,61
2006,3504,80231.17,324,247.62706790123457,5,61
1997,3504,1985.36,12,165.44666666666666,6,61
1996,3504,3499.02,14,249.93,7,61
2008,3504,109695.01,451,243.2261862527716,8,61
1998,3504,7669.97,33,232.42333333333335,9,61
1995,3504,2064.93,9,229.43666666666664,0,62
2020,3504,27357.1,111,246.46036036036034,1,62
1992,3504,325.28,2,162.64,2,62
2016,3504,175428.05,665,263.8015789473684,3,62
2004,3504,43338.3,173,250.51040462427747,4,62
2011,3504,139150.99,542,256.7361439114391,5,62
2007,3504,91599.47,362,253.0372099447514,6,62
2019,3504,142169.7,554,256.62400722021664,7,62
2001,3504,22701.81,88,257.97511363636363,8,62
1993,3504,454.65999999999997,2,227.32999999999998,9,62
2012,3504,149279.9,573,260.52338568935426,0,63
2014,3504,144600.55,554,261.0118231046931,1,63
2010,3504,116163.94,459,253.08047930283226,2,63
2005,3504,59139.98,229,258.2531877729258,3,63
2017,3504,160308.22,607,264.0992092257002,4,63
2013,3504,167684.9,655,256.00748091603054,5,63
2015,3504,132617.35,508,261.0577755905512,6,63
2018,3504,137019.27,538,254.68265799256503,7,63
2002,3504,26669.18,105,253.99219047619047,8,63
2009,3504,113706.28,439,259.01202733485195,9,63
2003,3504,39251.51,148,265.2129054054054,0,64
2000,3504,13349.72,56,238.38785714285714,1,64
2009,3509,106041.37,414,256.13857487922706,2,64
2006,3509,72320.02,293,246.82600682593858,3,64
2019,3509,142222.97,567,250.8341622574956,4,64
1995,3509,1789.74,8,223.7175,5,64
2004,3509,57000.26,215,265.117488372093,6,64
2001,3509,20135.43,79,254.87886075949368,7,64
1993,3509,1143.3500000000001,5,228.67000000000002,8,64
2000,3509,17999.19,73,246.56424657534245,9,64
1996,3509,1931.22,8,241.4025,0,65
2014,3509,137765.86,533,258.47253283302064,1,65
2010,3509,134730.54,512,263.1455859375,2,65
2005,3509,75363.29,301,250.3763787375415,3,65
2018,3509,157632.56,592,266.2712162162162,4,65
2015,3509,143897.51,571,252.009649737303,5,65
2008,3509,97552.27,382,255.37243455497384,6,65
2013,3509,140043.23,557,251.42411131059248,7,65
1997,3509,5270.7699999999995,21,250.9890476190476,8,65
1992,3509,699.25,4,174.8125,9,65
2002,3509,24376.62,92,264.9632608695652,0,66
2016,3509,130353.83,520,250.68044230769232,1,66
1999,3509,6584.76,31,212.4116129032258,2,66
2020,3509,26020.96,104,250.20153846153846,3,66
1998,3509,6405.35,28,228.76250000000002,4,66
1994,3509,2785.19,13,214.2453846153846,5,66
2011,3509,138482.5,544,254.56341911764707,6,66
2003,3509,38091.11,156,244.17378205128205,7,66
2012,3509,134328.55,528,254.41013257575756,8,66
2007,3509,86849.74,332,261.59560240963856,9,66
2017,3509,156451.95,595,262.9444537815126,0,67
2008,3596,99625.0,382,260.79842931937173,1,67
1998,3596,8062.73,39,206.73666666666665,2,67
1994,3596,759.77,6,126.62833333333333,3,67
2012,3596,134743.59,535,251.85717757009346,4,67
2003,3596,31876.61,132,241.4894696969697,5,67
2016,3596,147311.53,572,257.53763986013985,6,67
2001,3596,22086.26,87,253.86505747126435,7,67
1997,3596,3216.11,13,247.39307692307693,8,67
2013,3596,143547.57,554,259.11113718411553,9,67
2017,3596,151503.87,596,254.2011241610738,0,68
2015,3596,151933.74,607,250.3027018121911,1,68
2020,3596,30346.13,115,263.87939130434785,2,68
1993,3596,1943.24,9,215.91555555555556,3,68
1996,3596,2551.9,13,196.3,4,68
1999,3596,8500.54,34,250.0158823529412,5,68
2010,3596,151522.48,573,264.43713787085517,6,68
2018,3596,154602.17,612,252.61792483660133,7,68
2014,3596,138103.92,566,243.99985865724383,8,68
1995,3596,777.0,4,194.25,9,68
2011,3596,135206.79,529,255.58939508506617,0,69
2007,3596,91630.37,359,255.23779944289691,1,69
2006,3596,73080.44,285,256.4225964912281,2,69
2004,3596,43314.35,178,243.33904494382023,3,69
2002,3596,24715.07,103,239.9521359223301,4,69
2005,3596,63699.17,252,252.7744841269841,5,69
2000,3596,14128.79,53,266.5809433962264,6,69
2009,3596,122782.63,487,252.12039014373718,7,69
2019,3596,143678.37,578,248.57849480968858,8,69
2004,3640,55590.86,216,257.3650925925926,9,69
2010,3640,125361.41,493,254.28277890466532,0,70
2000,3640,21639.18,73,296.42712328767124,1,70
2020,3640,26714.48,101,264.499801980198,2,70
1992,3640,1141.46,5,228.292,3,70
1994,3640,1137.07,4,284.2675,4,70
2009,3640,110549.43,444,248.98520270270268,5,70
2018,3640,151300.47,591,256.00756345177666,6,70
2008,3640,121835.49,476,255.9569117647059,7,70
2012,3640,137618.68,540,254.8494074074074,8,70
2011,3640,136986.68,531,257.97868173258,9,70
2014,3640,151736.38,590,257.1803050847458,0,71
2003,3640,35434.3,147,241.0496598639456,1,71
2016,3640,160941.09,620,259.58240322580644,2,71
2015,3640,140785.83,545,258.322623853211,3,71
2019,3640,140222.02,546,256.81688644688643,4,71
1996,3640,2370.53,10,237.05300000000003,5,71
1993,3640,1101.88,4,275.47,6,71
2017,3640,130624.14,502,260.2074501992032,7,71
2007,3640,91555.98,362,252.9170718232044,8,71
1999,3640,12024.33,42,286.29357142857145,9,71
1997,3640,3455.2999999999997,17,203.25294117647059,0,72
2002,3640,25671.829999999998,97,264.65804123711337,1,72
2013,3640,136877.86,545,251.1520366972477,2,72
2001,3640,19374.31,78,248.38858974358976,3,72
1998,3640,5657.25,23,245.9673913043478,4,72
2005,3640,55125.93,225,245.00413333333333,5,72
1995,3640,2068.8,8,258.6,6,72
2006,3640,66943.65,271,247.02453874538745,7,72
2011,3684,144264.19,566,254.88372791519436,8,72
2007,3684,87257.77,350,249.3079142857143,9,72
2006,3684,71895.67,279,257.6905734767025,0,73
2004,3684,47555.19,186,255.67306451612905,1,73
2003,3684,36196.14,139,260.40388489208635,2,73
2019,3684,131728.09,509,258.7978192534381,3,73
2005,3684,74950.94,296,253.21263513513514,4,73
2000,3684,16806.92,64,262.608125,5,73
2010,3684,138740.21,552,251.34096014492752,6,73
2002,3684,29114.31,118,246.7314406779661,7,73
2009,3684,120237.58,465,258.57544086021505,8,73
2014,3684,134028.65,536,250.0534514925373,9,73
2013,3684,136649.08,548,249.35963503649631,0,74
1996,3684,686.76,5,137.352,1,74
2016,3684,142459.41,570,249.92878947368422,2,74
1999,3684,7794.4,36,216.5111111111111,3,74
2018,3684,146577.45,583,251.41929674099487,4,74
1991,3684,563.64,2,281.82,5,74
2012,3684,142659.45,539,264.6743042671614,6,74
2015,3684,142396.27,557,255.64859964093355,7,74
1998,3684,3831.59,19,201.66263157894738,8,74
2008,3684,105041.76,408,257.45529411764704,9,74
1995,3684,1442.59,5,288.518,0,75
2017,3684,152674.59,591,258.3326395939086,1,75
1994,3684,1593.51,6,265.585,2,75
2001,3684,21770.989999999998,87,250.24126436781606,3,75
1997,3684,4308.04,20,215.402,4,75
2020,3684,23863.8,90,265.1533333333333,5,75
2005,3722,61887.96,245,252.60391836734692,6,75
1991,3722,412.44,2,206.22,7,75
2009,3722,114950.17,458,250.982903930131,8,75
2013,3722,150001.64,595,252.1035966386555,9,75
2010,3722,136314.67,549,248.29630236794173,0,76
2018,3722,141069.63,549,256.95743169398907,1,76
2008,3722,101300.72,401,252.6202493765586,2,76
2003,3722,26546.85,109,243.54908256880734,3,76
2002,3722,21970.81,93,236.2452688172043,4,76
2019,3722,140428.99,553,253.94030741410486,5,76
2006,3722,78434.02,315,248.9968888888889,6,76
1995,3722,1168.72,6,194.78666666666666,7,76
1999,3722,11606.710000000001,46,252.31978260869568,8,76
1998,3722,5162.95,24,215.12291666666667,9,76
1996,3722,3033.5099999999998,15,202.23399999999998,0,77
2007,3722,77585.03,316,245.52224683544304,1,77
1997,3722,3174.54,12,264.545,2,77
2001,3722,27714.4,105,263.94666666666666,3,77
2016,3722,142182.61,580,245.14243103448274,4,77
2020,3722,20946.31,85,246.42717647058825,5,77
2004,3722,56054.77,221,253.64149321266967,6,77
1994,3722,1439.42,8,179.9275,7,77
2015,3722,144923.67,554,261.5950722021661,8,77
2000,3722,10947.11,40,273.67775,9,77
2011,3722,136738.57,530,257.99730188679246,0,78
1992,3722,899.9200000000001,4,224.98000000000002,1,78
2017,3722,155972.29,619,251.97462035541196,2,78
2014,3722,163530.16,640,255.515875,3,78
2012,3722,131301.15,520,252.50221153846152,4,78
2014,3730,148984.86,571,260.9191943957968,5,78
2017,3730,178927.54,680,263.12873529411763,6,78
2001,3730,17732.4,76,233.32105263157897,7,78
2007,3730,75946.78,294,258.32238095238097,8,78
2012,3730,147133.9,560,262.7391071428571,9,78
2018,3730,157279.15,616,255.32329545454544,0,79
2010,3730,127529.18,493,258.67987829614606,1,79
2003,3730,31494.31,120,262.45258333333334,2,79
1993,3730,580.89,3,193.63,3,79
2005,3730,61378.88,257,238.82832684824902,4,79
2002,3730,24650.3,101,244.06237623762377,5,79
2000,3730,10060.69,36,279.4636111111111,6,79
2008,3730,120836.32,482,250.6977593360996,7,79
2015,3730,142343.94,551,258.33745916515426,8,79
1994,3730,949.77,4,237.4425,9,79
2019,3730,152457.92,595,256.23179831932777,0,80
2016,3730,148625.72,586,253.6275085324232,1,80
2011,3730,146941.19,555,264.7589009009009,2,80
1997,3730,3977.35,19,209.3342105263158,3,80
1995,3730,2361.91,10,236.19099999999997,4,80
2004,3730,52956.27,203,260.8683251231527,5,80
1998,3730,4260.64,18,236.70222222222225,6,80
2020,3730,27981.77,95,294.54494736842105,7,80
2006,3730,80629.81,320,251.96815625,8,80
1999,3730,6919.87,24,288.3279166666667,9,80
1991,3730,1111.22,4,277.805,0,81
2013,3730,141905.59,560,253.4028392857143,1,81
2009,3730,109306.05,434,251.85725806451615,2,81
1996,3730,1705.73,8,213.21625,3,81
1992,3730,553.24,2,276.62,4,81
2020,3771,25173.66,96,262.225625,5,81
2008,3771,102614.7,405,253.36962962962963,6,81
2018,3771,156315.52,620,252.12180645161288,7,81
2006,3771,73209.11,290,252.44520689655172,8,81
1996,3771,3120.81,14,222.915,9,81
2016,3771,143484.53,574,249.9730487804878,0,82
1997,3771,2920.49,12,243.37416666666664,1,82
1993,3771,1291.02,8,161.3775,2,82
1994,3771,2210.77,9,245.64111111111112,3,82
1999,3771,4451.84,21,211.99238095238096,4,82
2007,3771,87459.05,342,255.728216374269,5,82
1998,3771,8151.47,36,226.42972222222224,6,82
2005,3771,72781.73,288,252.71434027777775,7,82
2000,3771,15730.95,58,271.223275862069,8,82
2013,3771,143295.97,557,257.26385996409334,9,82
2009,3771,122757.85,491,250.01598778004075,0,83
2017,3771,145601.4,574,253.6609756097561,1,83
2010,3771,120223.86,471,255.2523566878981,2,83
2011,3771,151523.96,586,258.57331058020475,3,83
2004,3771,49841.2,197,253.00101522842638,4,83
2002,3771,26135.48,110,237.59527272727271,5,83
2012,3771,140599.59,544,258.45512867647057,6,83
1995,3771,1699.3400000000001,7,242.76285714285717,7,83
2019,3771,156092.78,609,256.30998357963875,8,83
2001,3771,19321.13,80,241.514125,9,83
2014,3771,139087.43,537,259.0082495344506,0,84
2015,3771,143711.84,554,259.4076534296029,1,84
2003,3771,29858.32,117,255.19931623931623,2,84
2012,3775,130468.33,515,253.33656310679612,3,84
2019,3775,145854.79,571,255.4374605954466,4,84
2010,3775,145461.98,557,261.15256732495516,5,84
2004,3775,50622.83,191,265.0409947643979,6,84
2001,3775,24266.34,94,258.15255319148935,7,84
2011,3775,127799.12,494,258.70267206477735,8,84
1997,3775,4523.96,20,226.198,9,84
1994,3775,290.01,2,145.005,0,85
2013,3775,146366.7,586,249.77252559726963,1,85
2002,3775,27230.79,105,259.34085714285715,2,85
2018,3775,146682.1,565,259.6143362831859,3,85
2005,3775,62720.44,252,248.89063492063494,4,85
2003,3775,34712.69,146,237.75815068493154,5,85
1991,3775,918.01,4,229.5025,6,85
1998,3775,6560.29,29,226.21689655172415,7,85
1999,3775,3644.91,22,165.67772727272725,8,85
1992,3775,1582.85,7,226.12142857142857,9,85
2009,3775,107049.61,424,252.47549528301886,0,86
2017,3775,155313.78,602,257.9963122923588,1,86
2000,3775,12593.9,50,251.878,2,86
2006,3775,66226.99,265,249.91316981132078,3,86
1996,3775,4359.89,18,242.21611111111113,4,86
2020,3775,23873.65,92,259.4961956521739,5,86
2015,3775,142411.47,552,257.9917934782609,6,86
2016,3775,152154.97,603,252.32996683250414,7,86
2007,3775,93238.76,363,256.85608815426997,8,86
1993,3775,960.93,4,240.2325,9,86
2014,3775,150247.43,603,249.16655058043116,0,87
1995,3775,919.98,4,229.995,1,87
2008,3775,102809.56,408,251.9842156862745,2,87
2003,3780,32933.07,131,251.39748091603053,3,87
1994,3780,864.14,4,216.035,4,87
1997,3780,3176.24,17,186.8376470588235,5,87
2008,3780,103811.0,397,261.4886649874055,6,87
2013,3780,150479.04,590,255.04922033898308,7,87
1992,3780,503.59,2,251.795,8,87
1998,3780,5399.93,22,245.45136363636365,9,87
2006,3780,79699.59,316,252.2138924050633,0,88
2015,3780,152491.98,599,254.57759599332223,1,88
2016,3780,148304.02,572,259.2727622377622,2,88
2002,3780,28979.41,113,256.4549557522124,3,88
2004,3780,43377.19,195,222.44712820512822,4,88
2020,3780,26339.28,106,248.48377358490566,5,88
2000,3780,16795.63,62,270.89725806451617,6,88
2009,3780,116725.65,459,254.30424836601307,7,88
2018,3780,148728.01,582,255.54640893470793,8,88
1999,3780,9437.91,35,269.65457142857144,9,88
2014,3780,137568.96,529,260.0547448015123,0,89
2012,3780,142987.5,554,258.10018050541515,1,89
1995,3780,1856.19,5,371.238,2,89
1996,3780,2669.37,12,222.4475,3,89
2017,3780,146743.98,565,259.72385840707966,4,89
1993,3780,417.89,2,208.945,5,89
2019,3780,153439.24,609,251.9527750410509,6,89
2010,3780,126224.45,501,251.9450099800399,7,89
2005,3780,56366.48,228,247.22140350877194,8,89
2011,3780,163963.66,647,253.42142194744977,9,89
2001,3780,16077.26,66,243.59484848484848,0,90
2007,3780,98822.37,391,252.74263427109975,1,90
2015,4111,443567.02,4975,89.1592,2,90
2014,4111,478103.83,5290,90.37879584120984,3,90
2017,4111,454706.59,4981,91.28821321019876,4,90
2019,4111,440966.98,4909,89.8282705235282,5,90
2003,4111,114864.99,1072,107.15017723880598,6,90
2001,4111,74211.3,755,98.29311258278146,7,90
2000,4111,67928.7,678,100.18982300884956,8,90
2007,4111,222892.47,2123,104.98938765897316,9,90
2006,4111,239158.43,2188,109.30458409506399,0,91
2012,4111,485566.41,5345,90.844978484565,1,91
1995,4111,21413.91,275,77.86876363636364,2,91
2018,4111,426156.44,4775,89.2474219895288,3,91
1993,4111,22039.34,288,76.5254861111111,4,91
2020,4111,74368.94,835,89.06459880239521,5,91
1994,4111,18512.29,243,76.1822633744856,6,91
1998,4111,27381.67,355,77.13146478873239,7,91
1997,4111,21536.22,269,80.06029739776952,8,91
2010,4111,420726.21,4677,89.95642719692111,9,91
2013,4111,470584.64,5203,90.44486642321738,0,92
2005,4111,158576.68,1449,109.43870255348516,1,92
1999,4111,52887.03,576,91.81776041666666,2,92
1992,4111,1558.83,19,82.04368421052631,3,92
2011,4111,441678.14,4904,90.0648735725938,4,92
2002,4111,67364.14,614,109.71358306188925,5,92
2009,4111,328481.57,3465,94.79987590187591,6,92
1996,4111,19389.15,248,78.18205645161291,7,92
2008,4111,259556.72,2512,103.32671974522293,8,92
2004,4111,122548.27,1113,110.1062623539982,9,92
2016,4111,464759.46,5107,91.00439788525554,0,93
2006,4112,21560.79,73,295.35328767123286,1,93
2007,4112,21559.82,68,317.05617647058824,2,93
2017,4112,41483.5,134,309.57835820895525,3,93
1999,4112,1783.23,5,356.646,4,93
2012,4112,36774.32,126,291.8596825396825,5,93
2011,4112,37592.1,126,298.34999999999997,6,93
2002,4112,9688.65,31,312.5370967741935,7,93
1995,4112,376.24,1,376.24,8,93
1998,4112,894.38,4,223.595,9,93
2020,4112,6010.05,20,300.5025,0,94
2016,4112,40619.03,132,307.7199242424242,1,94
1997,4112,514.89,2,257.445,2,94
2018,4112,42768.48,144,297.00333333333333,3,94
2005,4112,17879.32,62,288.37612903225806,4,94
2000,4112,2340.75,8,292.59375,5,94
2015,4112,37439.92,126,297.1422222222222,6,94
2013,4112,36253.61,115,315.24878260869565,7,94
2014,4112,37680.01,127,296.6929921259843,8,94
2003,4112,8103.25,31,261.39516129032256,9,94
2004,4112,11797.58,39,302.5020512820513,0,95
1996,4112,1256.13,3,418.71000000000004,1,95
2019,4112,36934.11,128,288.547734375,2,95
2010,4112,32457.46,114,284.71456140350875,3,95
2001,4112,4492.68,17,264.2752941176471,4,95
2009,4112,38039.52,121,314.3761983471074,5,95
1993,4112,702.0999999999999,2,351.04999999999995,6,95
1994,4112,1050.0700000000002,3,350.02333333333337,7,95
2008,4112,29410.17,102,288.335,8,95
2013,4121,177611.39,6846,25.9438197487584,9,95
2009,4121,145250.59,6031,24.083997678660253,0,96
2004,4121,89744.45,3384,26.520227541371156,1,96
1998,4121,8151.57,396,20.584772727272725,2,96
2012,4121,162281.04,6653,24.3921599278521,3,96
1996,4121,969.2,38,25.50526315789474,4,96
2011,4121,167630.09,6932,24.182067224466245,5,96
2003,4121,72029.36,2579,27.92918185343156,6,96
1995,4121,168.62,9,18.735555555555557,7,96
1997,4121,6302.3,294,21.43639455782313,8,96
2020,4121,38303.35,1592,24.0598932160804,9,96
2010,4121,159999.64,6675,23.969983520599254,0,97
2002,4121,65013.22,2085,31.181400479616308,1,97
2005,4121,109808.21,4321,25.41268456375839,2,97
2014,4121,195115.7,7379,26.4420246645887,3,97
1999,4121,19155.96,662,28.936495468277943,4,97
2018,4121,214146.27,8371,25.581922112053515,5,97
2017,4121,206141.84,7859,26.23003435551597,6,97
2000,4121,48956.89,1429,34.25954513645906,7,97
2019,4121,208742.69,8276,25.22265466408893,8,97
2006,4121,121382.94,4885,24.848094165813716,9,97
2016,4121,184633.51,7219,25.576050699542876,0,98
2015,4121,193634.12,7464,25.942406216505894,1,98
2007,4121,118591.48,5021,23.61909579764987,2,98
2001,4121,53121.95,1624,32.710560344827584,3,98
2008,4121,140596.93,5869,23.95585789742716,4,98
2012,4131,8947.92,88,101.6809090909091,5,98
2009,4131,8580.49,90,95.33877777777778,6,98
2017,4131,11109.39,113,98.31318584070796,7,98
1996,4131,232.20999999999998,3,77.40333333333332,8,98
2001,4131,1309.73,16,81.858125,9,98
2014,4131,11671.18,113,103.28477876106194,0,99
1997,4131,519.94,6,86.65666666666668,1,99
2005,4131,4904.34,55,89.16981818181819,2,99
1994,4131,71.94,1,71.94,3,99
2019,4131,8650.74,92,94.02978260869565,4,99
2016,4131,9437.16,95,99.33852631578947,5,99
2008,4131,7373.5,70,105.33571428571429,6,99
2015,4131,11118.29,112,99.27044642857143,7,99
2006,4131,5430.8,58,93.63448275862069,8,99
1999,4131,464.6,5,92.92,9,99
2000,4131,969.8199999999999,11,88.16545454545454,0,100
2018,4131,12834.52,121,106.0704132231405,1,100
2011,4131,8615.38,93,92.6384946236559,2,100
2002,4131,1646.46,17,96.85058823529413,3,100
2013,4131,11961.0,112,106.79464285714286,4,100
1998,4131,900.47,9,100.05222222222223,5,100
2004,4131,3665.87,36,101.82972222222222,6,100
2003,4131,2639.1,28,94.25357142857142,7,100
2010,4131,8934.15,90,99.26833333333333,8,100
2020,4131,1556.08,16,97.255,9,100
2007,4131,6523.73,66,98.84439393939394,0,101
2018,4214,49135.58,3249,15.123293321021853,1,101
2003,4214,20457.67,1328,15.404871987951806,2,101
2020,4214,9392.7,605,15.52512396694215,3,101
2014,4214,46709.21,3079,15.170253329002923,4,101
2002,4214,14646.23,1000,14.64623,5,101
2017,4214,47759.02,3150,15.16159365079365,6,101
1991,4214,149.93,9,16.65888888888889,7,101
2007,4214,33656.99,2185,15.40365675057208,8,101
1995,4214,268.19,48,5.587291666666666,9,101
2006,4214,32042.9,2164,14.807255083179298,0,102
1998,4214,4007.44,327,12.255168195718655,1,102
1999,4214,6088.64,473,12.872389006342495,2,102
2016,4214,48551.51,3215,15.10155832037325,3,102
2008,4214,35826.77,2340,15.310585470085469,4,102
2015,4214,48066.23,3164,15.191602402022758,5,102
2000,4214,7744.21,595,13.01547899159664,6,102
2005,4214,27382.14,1835,14.922147138964577,7,102
1992,4214,275.61,17,16.212352941176473,8,102
2012,4214,47955.34,3123,15.355536343259685,9,102
2011,4214,49760.39,3246,15.32975662353666,0,103
1996,4214,263.23,99,2.658888888888889,1,103
2013,4214,44965.79,2958,15.201416497633536,2,103
1997,4214,1360.12,147,9.252517006802721,3,103
2001,4214,9718.82,721,13.479639389736477,4,103
2010,4214,45701.72,3005,15.208559068219634,5,103
1994,4214,288.57,20,14.4285,6,103
2004,4214,25608.44,1601,15.99527795128045,7,103
2009,4214,39722.43,2604,15.254389400921658,8,103
1993,4214,181.54,11,16.503636363636364,9,103
2019,4214,48389.42,3214,15.055824517734909,0,104
1994,4814,8998.5,78,115.36538461538461,1,104
2007,4814,585194.93,4727,123.79837740638884,2,104
2019,4814,681973.8,5442,125.31675854465271,3,104
2006,4814,525253.05,4280,122.72267523364486,4,104
1996,4814,15122.2,141,107.24964539007092,5,104
2008,4814,659578.72,5322,123.93437053739196,6,104
2004,4814,354101.56,2907,121.80996216030272,7,104
2010,4814,757082.85,5918,127.92883575532274,8,104
2005,4814,438325.69,3601,121.72332407664538,9,104
2009,4814,725474.02,5731,126.5876845227709,0,105
2003,4814,269188.51,2199,122.41405638926786,1,105
2011,4814,780167.78,6091,128.0853357412576,2,105
1995,4814,11018.37,105,104.93685714285715,3,105
2012,4814,748094.46,5845,127.98878699743369,4,105
2017,4814,700979.68,5508,127.26573710965869,5,105
2015,4814,681371.72,5366,126.97944837868057,6,105
1999,4814,61926.94,506,122.38525691699606,7,105
2016,4814,679410.26,5355,126.87399813258637,8,105
2018,4814,695777.49,5412,128.56199002217295,9,105
1992,4814,3350.44,20,167.522,0,106
2001,4814,148361.94,1207,122.91792874896437,1,106
1991,4814,3688.56,20,184.428,2,106
2013,4814,735555.8,5833,126.10248585633465,3,106
2000,4814,94311.49,759,124.2575625823452,4,106
2014,4814,707159.64,5525,127.99269502262443,5,106
1993,4814,6877.88,48,143.28916666666666,6,106
1998,4814,41487.93,355,116.86740845070423,7,106
2002,4814,221562.37,1751,126.53476299257566,8,106
2020,4814,135624.62,1095,123.858100456621,9,106
1997,4814,30206.92,255,118.45850980392156,0,107
1995,4829,141480.0,1780,79.48314606741573,1,107
2005,4829,1450725.69,15820,91.70200316055626,2,107
2010,4829,2422460.0,25506,94.97608405865287,3,107
2016,4829,2789520.0,28886,96.56996468877657,4,107
2004,4829,1141880.0,12679,90.06073034150958,5,107
1997,4829,190420.0,2409,79.04524699045247,6,107
1999,4829,244500.0,3040,80.42763157894737,7,107
2015,4829,2764340.0,28445,97.1819300404289,8,107
2012,4829,2649550.06,27200,97.40992867647059,9,107
2008,4829,2071000.0,22238,93.12887849626765,0,108
2013,4829,2741740.0,27997,97.92977819052041,1,108
1993,4829,136520.0,1669,81.79748352306771,2,108
1994,4829,148580.0,1868,79.53961456102783,3,108
2002,4829,720940.0,8429,85.53090520820975,4,108
2019,4829,2856640.0,29669,96.28366308267888,5,108
1996,4829,150140.0,1921,78.1572097865695,6,108
2007,4829,1873742.94,19845,94.41889342403628,7,108
2011,4829,2641980.0,27368,96.53536977491962,8,108
2006,4829,1711583.69,18325,93.40156562073669,9,108
1998,4829,210360.0,2638,79.74222896133435,0,109
2014,4829,2784560.0,28451,97.87213103230116,1,109
2020,4829,535040.0,5637,94.91573532020578,2,109
2000,4829,342140.0,4065,84.16728167281673,3,109
2001,4829,507069.6,5747,88.23205150513311,4,109
2017,4829,2816360.0,28867,97.56330758305332,5,109
1992,4829,103640.0,1057,98.05108798486282,6,109
1991,4829,9460.0,94,100.63829787234043,7,109
2003,4829,886660.0,10131,87.51949462047182,8,109
2009,4829,2222220.0,23769,93.49236400353402,9,109
2018,4829,2821580.0,29107,96.93819356168619,0,110
1998,4899,7894.79,62,127.33532258064515,1,110
1994,4899,3639.35,31,117.39838709677419,2,110
2011,4899,2017.17,15,134.478,3,110
1993,4899,2740.22,20,137.011,4,110
2008,4899,7662.1,46,166.56739130434784,5,110
2009,4899,6371.62,43,148.17720930232556,6,110
1997,4899,6851.79,54,126.885,7,110
1991,4899,624.24,5,124.848,8,110
2012,4899,1453.99,9,161.55444444444444,9,110
1992,4899,2162.7,15,144.17999999999998,0,111
2006,4899,13079.34,96,136.243125,1,111
1995,4899,4685.67,38,123.3071052631579,2,111
2013,4899,1097.37,5,219.474,3,111
1996,4899,4940.31,42,117.62642857142858,4,111
2007,4899,8883.19,59,150.56254237288135,5,111
2004,4899,12016.26,76,158.10868421052632,6,111
1999,4899,6754.1,51,132.43333333333334,7,111
2005,4899,11405.39,76,150.07092105263158,8,111
2003,4899,10656.95,76,140.2230263157895,9,111
2001,4899,11044.58,80,138.05725,0,112
2010,4899,5128.14,36,142.44833333333335,1,112
2000,4899,10173.03,71,143.28211267605636,2,112
2002,4899,12077.54,78,154.84025641025642,3,112
1999,4900,80538.84,675,119.3168,4,112
2010,4900,993956.36,7909,125.67408774813504,5,112
1992,4900,4157.68,42,98.99238095238096,6,112
2016,4900,1034703.34,8322,124.33349435231915,7,112
2005,4900,552053.93,4583,120.45689068295877,8,112
1993,4900,6826.15,79,86.40696202531645,9,112
2013,4900,1019587.93,8086,126.09299159040317,0,113
2004,4900,457685.45,3714,123.23248519116855,1,113
2020,4900,194949.83,1599,121.91984365228267,2,113
2015,4900,1030526.95,8283,124.41469878063504,3,113
2008,4900,814315.39,6600,123.3811196969697,4,113
2009,4900,890384.25,7119,125.07153392330383,5,113
2001,4900,189669.96,1557,121.81757225433526,6,113
2000,4900,126024.88,1050,120.02369523809524,7,113
